customer_id,nombre,email,telefono,fecha_registro,antiguedad_dias,ciudad,tipo_cliente,canal_principal,tiene_contrato,num_envios_6m,valor_total_6m,ticket_promedio,dias_ultimo_envio,num_reclamos_6m,tasa_entrega_exitosa,nps_score,churn
CLI001124,Sergio David Camargo,tatianaortiz@example.com,3135603411,20201006,1547.0,,Natural,Web,0,4.0,62800.0,15700.0,26.0,2.0,0.8217,7.3,1
CLI007856,Alberto Moreno Ruiz,mauriciocalderon@example.com,(+57)3057490162,2020-12-05,1487.0,Bucaramanga,Natural,Web,1,3.0,30600.0,10200.0,42.0,1.0,0.8813,7.5,0
CLI009901,Luis Hernán Muñoz Henao,andrescordoba@example.net,3248833042,2020-11-03,1519.0,Bogotá,Natural,Web,0,2.0,13000.0,6500.0,21.0,3.0,1.0,2.0,1
CLI005707,María Milena Trujillo,garciajhon@example.com,57 320 930 87 65,2021-03-14,1388.0,Cúcuta,Empresa,,1,6.0,,45200.0,150.0,0.0,0.9275,1.5,1
CLI002037,José Melo Ruiz,luz15@example.org,57 608 326 34 26,2023-07-20,530.0,,Empresa,Web,0,12.0,658800.0,,15.0,2.0,0.8352,,1
CLI001489,Gildardo Ferney Arias Ardila,miltonlozano@example.net,(+57)6049123629,2019-07-14,1997.0,Cúcuta,Natural,App,1,,15900.0,15900.0,59.0,1.0,0.823,,0
CLI000736,María Daniela Quintero Ávila,alexandra04@example.org,573122024458,2021-12-11,1116.0,Barranquilla,Natural,Punto físico,0,5.0,33000.0,6600.0,34.0,0.0,0.9242,4.7,0
CLI001497,Luis Dario Bravo,nelson59@example.com,01 8000 670 480,2019-04-19,2083.0,Cartagena,Natural,Web,0,2.0,22200.0,11100.0,17.0,2.0,,6.0,1
CLI005437,Alexandra Sierra,julian08@example.net,01 8003 970 523,20190131,2161.0,Cartagena,Natural,App,0,3.0,33600.0,11200.0,33.0,2.0,1.0,6.6,0
CLI001579,Adriana Luz Ramírez Vargas,martinezmilena@example.net,(+57)3213579669,2019-10-19,,Pasto,Empresa,Web,1,9.0,450000.0,50000.0,30.0,2.0,0.8068,6.4,1
CLI008956,Leidy Jimena Bermúdez,quinteroalberto@example.org,01 8005 116 733,2022-09-22,831.0,,Empresa,,0,,681800.0,48700.0,1.0,3.0,,,0
CLI000040,Leider Bernal Mendoza,sandra13@example.com,304 707 24 62,07/10/2020,1546.0,Barranquilla,Empresa,App,1,19.0,805600.0,42400.0,64.0,0.0,0.8655,6.0,0
CLI009594,Efrain Moreno,gpineda@example.net,+57 608 622 11 41,2021-11-15,1142.0,Cali,Natural,Punto físico,1,4.0,82400.0,20600.0,14.0,,0.8356,,0
CLI000319,Lorena Arrieta,mendozafernando@example.net,(+57) 328 001 25 39,2023-02-03,697.0,Bogotá,Ecommerce,Web,1,24.0,266400.0,11100.0,18.0,2.0,0.8376,,0
CLI006856,Patricia Sara Soto Amaya,benjamin77@example.com,(+57) 306 120 03 20,2022-12-11,751.0,Medellín,Natural,App,0,7.0,83300.0,11900.0,14.0,0.0,0.9545,6.3,0
CLI004344,Luz Caballero Rodríguez,juanlopez@example.net,57 320 908 36 27,19/08/2021,1230.0,Bogotá,Natural,API,1,3.0,51300.0,17100.0,6.0,,0.8188,6.0,0
CLI005928,María Carolina Caicedo,martha03@example.net,+573157365038,2022-11-23,769.0,Bucaramanga,Empresa,App,1,16.0,25640000.0,29300.0,11.0,0.0,,8.1,0
CLI004380,Isabel Márquez,esilva@example.net,+57 603 536 42 07,2019-07-26,1985.0,Bogotá,Natural,Web,0,7.0,75600.0,10800.0,116.0,,0.7413,8.7,1
CLI004231,Marlene Romero Bautista,cosorio@example.com,(+57)3091565087,2020-01-22,1805.0,Manizales,Ecommerce,App,0,20.0,208000.0,10400.0,,1.0,1.0,6.3,0
CLI000674,Juan Hernández,obandofederico@example.org,6082131718,2023-07-13,537.0,Barranquilla,Empresa,App,0,14.0,652400.0,46600.0,9.0,1.0,0.7985,3.6,1
CLI003474,Enrique Gómez,nancybautista@example.net,3290901489,20231207,390.0,Medellín,Natural,API,0,5.0,56000.0,11200.0,4.0,1.0,0.8179,5.1,1
CLI000566,Alexandra Andrea Flórez Hernández,ana72@example.net,573116166945,2019-05-08,2064.0,Barranquilla,Natural,App,0,4.0,46000.0,11500.0,52.0,0.0,0.7541,,0
CLI006399,Víctor Hernández Hernández,josecamargo@example.com,3270162437,2020-09-26,1557.0,Cali,Empresa,Punto físico,0,,319000.0,31900.0,34.0,1.0,0.7799,8.4,0
CLI008776,Nidia Pulido Martínez,leonardo25@example.net,326 552 24 29,99/99/9999,,Bogotá,Natural,App,1,4.0,41200.0,10300.0,49.0,0.0,0.7535,,0
CLI007013,José Humberto Arteaga Buitrago,lizeth16@example.org,+573298101924,2019-01-27,2165.0,Bogotá,Ecommerce,Web,0,15.0,292500.0,19500.0,10.0,2.0,0.9451,5.8,0
CLI001454,Mauricio Hernán Contreras,carlosfranco@example.net,018009050526,2022-07-12,903.0,Pereira,Natural,Web,1,9.0,93600.0,10400.0,25.0,1.0,1.0,3.9,0
CLI002789,Carlos Edison Sierra Lozano,marthagomez@example.com,57 303 659 89 64,2021-04-27,1344.0,Pereira,Empresa,Punto físico,1,12.0,520800.0,43400.0,10.0,3.0,1.0,7.8,0
CLI007984,Jhon Valderrama,antoniosanchez@example.net,018002768853,2022-09-22,831.0,Manizales,,API,0,13.0,396500.0,30500.0,180.0,1.0,0.8308,8.7,0
CLI001083,Jairo David López,juan89@example.org,3079102697,31 Oct 2021,1157.0,,Natural,App,1,4.0,65600.0,16400.0,25.0,0.0,0.9047,8.8,0
CLI006682,Edison Carlos Moreno,zgomez@example.net,(+57) 310 954 44 97,2022-12-16,746.0,Cartagena,Empresa,App,1,15.0,523500.0,34900.0,14.0,1.0,,5.6,0
CLI000252,Elvira Natalia Rico,esther76@example.com,(+57)6022224714,2023-03-27,645.0,,Ecommerce,API,0,13.0,188500.0,14500.0,104.0,1.0,0.9131,5.9,0
CLI008359,Pablo Antonio Castro Salazar,leonardo00@example.com,573176120877,2022-07-24,891.0,Cúcuta,Natural,Web,0,4.0,50800.0,12700.0,47.0,3.0,0.9476,6.6,0
CLI003208,Santiago Wilmar Pabón,zlozano@example.net,329 070 71 45,2021-01-03,1458.0,Bogotá,Ecommerce,Punto físico,0,21.0,436800.0,20800.0,144.0,4.0,0.9137,4.9,1
CLI005352,José Salas,alfonsorodriguez@example.com,57 310 496 92 95,2021-01-26,1435.0,Bucaramanga,Empresa,App,0,13.0,627900.0,48300.0,6.0,6.0,0.7546,8.1,1
CLI004265,Nilson Giovanni Cruz,adominguez@example.com,(+57) 313 338 74 69,2023-05-02,609.0,Barranquilla,Empresa,API,0,15.0,604500.0,40300.0,129.0,0.0,0.9019,,0
CLI000322,Johana Andrea Vargas,bsierra@example.org,994 94 52,2023-08-29,490.0,Medellín,Empresa,Punto físico,1,12.0,548400.0,45700.0,98.0,1.0,,4.3,1
CLI004706,Marcela Dolores Escobar,hmartinez@example.com,341 84 81,2019-02-20,2141.0,Bogotá,Natural,App,0,3.0,35100.0,11700.0,37.0,1.0,0.9857,5.4,0
CLI009546,Claudia Naranjo,cortiz@example.net,3060147184,2021-11-01,1156.0,Bogotá,Ecommerce,Punto físico,0,11.0,304700.0,27700.0,57.0,0.0,1.0,,0
CLI005614,Cecilia Sandra Navarro Peña,ghernandez@example.org,57 306 620 17 91,2019-02-16,2145.0,Barranquilla,Natural,Web,1,5.0,56000.0,11200.0,53.0,1.0,0.829,8.0,0
CLI008918,José Correa,martha99@example.net,(+57)3221283190,2020-10-18,1535.0,Bogotá,Empresa,App,0,11.0,81400.0,7400.0,38.0,1.0,0.8331,7.5,1
CLI005262,Yohana Vega García,gleal@example.com,(+57) 319 239 03 49,2020-07-13,1632.0,Cali,Ecommerce,App,1,16.0,225600.0,,61.0,1.0,0.9245,1.3,1
CLI001955,María Liliana Jiménez,dorisbenavides@example.net,6083262498,2020-11-12,1510.0,Cúcuta,Ecommerce,App,1,23.0,485300.0,21100.0,2.0,1.0,0.912,1.3,1
CLI004013,Leydi Jimena Santos,munozalexander@example.net,(+57) 327 322 91 65,2019-06-27,2014.0,Cúcuta,Empresa,API,0,8.0,280000.0,35000.0,113.0,0.0,,6.5,0
CLI004699,Mateo Miguel Carmona Espinosa,rafaelramirez@example.org,9136548,2021-04-23,,Cali,Natural,App,1,2.0,13600.0,6800.0,24.0,2.0,0.8214,2.4,0
CLI005769,Guillermo Herrera Herrera,xbolanos@example.org,697 38 22,2022-01-21,1075.0,Medellín,Natural,API,0,4.0,72000.0,18000.0,,1.0,0.8597,4.5,0
CLI000484,Alexandra Ana Valencia Guzmán,castillomaria@example.net,(+57) 327 119 69 02,2022-05-01,975.0,Medellín,Empresa,Web,1,11.0,509300.0,46300.0,,2.0,,8.5,0
CLI008537,José Chávez Castellanos,oviedohenry@example.org,573021560655,2019-03-20,2113.0,Bogotá,Natural,,0,7.0,53900.0,7700.0,29.0,1.0,0.956,2.7,0
CLI009572,Alejandro Andrés Ramírez Gómez,maria47@example.net,+573085601586,2023-09-08,480.0,Barranquilla,Empresa,Web,1,15.0,717000.0,47800.0,100.0,1.0,0.8285,8.2,0
CLI002233,Astrid Castillo Martínez,pachecoalicia@example.net,573139185686,2020-05-12,1694.0,Bogotá,Natural,,0,3.0,12900.0,4300.0,39.0,1.0,0.8292,6.6,0
CLI001796,Viviana Oliva Ruiz Carrillo,blanca24@example.org,(+57)3102005295,2019-08-08,1972.0,,Empresa,App,1,12.0,602400.0,50200.0,47.0,0.0,0.9226,7.6,0
CLI002214,Liliana Esperanza Montoya Rincón,tcarvajal@example.org,+57 300 477 51 52,2022-04-10,996.0,Medellín,Ecommerce,Punto físico,0,16.0,387200.0,24200.0,72.0,2.0,0.872,7.6,0
CLI004112,Olga Gómez Salas,gomezana@example.com,576085740681,2020-08-05,1609.0,Cartagena,Natural,App,0,5.0,54500.0,10900.0,15.0,0.0,0.8916,7.9,0
CLI007335,Diego Luna,oscarrestrepo@example.net,3296187594,2021-11-28,1129.0,Medellín,Natural,Punto físico,0,7.0,47600.0,6800.0,6.0,1.0,0.9477,5.8,0
CLI002013,Rosa Natalia Navarro Ortega,quinteroeduardo@example.net,(+57) 310 660 27 59,2023-08-31,488.0,Bogotá,Ecommerce,Web,0,27.0,459000.0,,9.0,1.0,0.8082,3.5,1
CLI006080,Lorena Sierra Moreno,salazarenrique@example.net,+57 607 925 86 50,2023-06-06,574.0,Cartagena,Natural,,0,1.0,11900.0,11900.0,53.0,1.0,0.833,7.6,0
CLI000501,Paola Martínez,ovasquez@example.org,+573145925449,2021-01-19,1442.0,Barranquilla,,API,0,8.0,68000.0,8500.0,27.0,1.0,0.8207,7.4,0
CLI005107,Andrea Doris Gómez Pérez,felixfranco@example.net,6089385183,2019-01-07,2185.0,Bogotá,Natural,Punto físico,0,5.0,70000.0,14000.0,,0.0,0.8575,10.0,0
CLI006754,Miriam Sandra Hernández,amora@example.org,573165964560,2020-01-09,1818.0,Cúcuta,Empresa,,0,,867000.0,51000.0,57.0,3.0,0.8757,2.3,1
CLI002359,Isabel Franco,arturo52@example.net,(+57)3096350299,2020-08-21,1593.0,Manizales,Ecommerce,Punto físico,0,16.0,448000.0,28000.0,73.0,0.0,0.8756,,0
CLI007860,David Oviedo,penapedro@example.net,307 043 04 15,2022-10-28,795.0,,Empresa,App,0,16.0,856000.0,53500.0,30.0,0.0,0.9136,5.3,1
CLI002274,Vilma Morales,campoalexander@example.com,300 121 55 00,2019-01-29,2163.0,Cartagena,Natural,App,1,1.0,9200.0,9200.0,3.0,,0.8408,0.4,1
CLI008202,Ana Rosero,rsanchez@example.com,+57 315 316 58 15,28/09/2019,1921.0,Manizales,Natural,App,1,5.0,75500.0,15100.0,35.0,0.0,0.7203,7.3,0
CLI002153,Raquel Patricia Villamizar,vallejolizeth@example.org,(+57) 307 026 01 68,2022-07-19,896.0,Bucaramanga,Ecommerce,App,0,19.0,385700.0,,67.0,0.0,0.9779,7.0,0
CLI008122,Cecilia Salazar González,blancamosquera@example.com,576043859099,2019-10-02,1917.0,Cali,Natural,Web,0,3.0,26100.0,8700.0,23.0,,0.8622,5.3,1
CLI001200,Arbey Suárez Sarmiento,ramirezmaria@example.com,+573026625287,2023-11-07,420.0,,Natural,Web,0,3.0,29400.0,9800.0,40.0,1.0,0.7139,4.1,1
CLI001114,Nubia Claudia Tamayo,zacosta@example.org,01 8005 080 861,2021-01-24,1437.0,Pereira,Natural,Web,1,2.0,17400.0,8700.0,29.0,3.0,0.8357,5.4,0
CLI007677,Eugenia Gallego,paolavalencia@example.org,(+57)3044324345,2021-07-16,1264.0,Bogotá,Ecommerce,Punto físico,0,13.0,223600.0,17200.0,38.0,1.0,0.8062,7.4,0
CLI008720,Doris Stella Pinzón,gorozco@example.org,(+57) 603 452 41 85,2021-10-26,1162.0,Bogotá,Natural,Web,1,3.0,52800.0,,,0.0,,7.9,0
CLI000120,Enrique Correa Martínez,smora@example.com,+573280868476,2019-01-09,2183.0,Cali,Natural,App,1,2.0,36000.0,18000.0,52.0,3.0,1.0,7.0,0
CLI002031,Rubén Torres González,cindy46@example.net,(+57) 604 576 95 95,2023-07-05,545.0,,Natural,Punto físico,0,4.0,39600.0,9900.0,17.0,1.0,0.8912,6.2,0
CLI008608,Bernardo Mora,ivonne01@example.com,573026303934,2023-05-01,610.0,Barranquilla,Empresa,Punto físico,0,6.0,345600.0,57600.0,51.0,0.0,0.8214,7.1,0
CLI002413,José Javier Blanco Galindo,gomeznancy@example.com,(+57) 307 290 23 88,2020-06-14,1661.0,Medellín,Ecommerce,Punto físico,1,17.0,353600.0,,85.0,0.0,0.8144,3.0,0
CLI004345,Carlos Morales,jaime73@example.net,57 314 345 39 72,2019-04-17,2085.0,Barranquilla,Natural,App,0,7.0,84700.0,12100.0,54.0,0.0,0.9721,3.6,1
CLI008807,Camilo Roberto Cantillo Bolívar,jeison99@example.org,312 087 51 02,2022-04-13,993.0,Bogotá,Ecommerce,App,0,,139200.0,8700.0,86.0,0.0,0.9666,6.9,0
CLI005266,Cecilia Omaira Muñoz,alberto88@example.com,57 327 395 51 76,2023-04-22,619.0,Bogotá,Natural,Punto físico,1,6.0,85200.0,14200.0,1.0,0.0,0.9165,8.1,0
CLI004722,Alberto Fabio Hernández Mendoza,salazaryury@example.com,3232286520,2020-07-09,1636.0,Cali,Natural,App,1,5.0,36500.0,7300.0,,0.0,0.8441,3.0,0
CLI007673,Aurelio López,pedrosanchez@example.net,+57 314 820 00 22,2022-02-16,,Pereira,Natural,Web,0,3.0,36600.0,12200.0,6.0,0.0,0.9214,9.5,0
CLI005020,Nicolás Guerrero,velezalfonso@example.com,57 305 986 34 58,2021-09-06,1212.0,Medellín,Natural,Punto físico,1,5.0,65000.0,,51.0,2.0,0.8741,2.6,0
CLI007696,Carlos Wilmer Bernal,deliapalacios@example.com,018005852186,2022-07-24,891.0,Cali,Ecommerce,API,0,19.0,209000.0,11000.0,144.0,0.0,0.8519,1.7,1
CLI000533,Carlos Barrera García,acevedoandres@example.org,57 324 090 61 43,2021-08-18,1231.0,Medellín,Natural,Web,1,4.0,72800.0,18200.0,155.0,,,7.7,1
CLI001003,Fernanda Carmen Castañeda,escobarerika@example.net,+57 325 155 38 84,2021-10-09,1179.0,Bogotá,Ecommerce,Punto físico,1,17.0,249900.0,14700.0,,3.0,0.8179,5.2,1
CLI004011,Dora Montoya,gomezdiana@example.com,601 304 64 72,2021-08-05,1244.0,Bogotá,Ecommerce,API,0,22.0,470800.0,21400.0,,,1.0,7.4,0
CLI003920,Erika Consuelo Monsalve Soto,iquintero@example.com,(+57) 306 019 30 84,99/99/9999,2010.0,Medellín,Ecommerce,Web,0,15.0,280500.0,18700.0,17.0,2.0,0.8132,8.5,0
CLI000374,Andrés Agudelo Pinto,jimenezangela@example.net,+57 301 184 76 29,2023-06-16,564.0,,Natural,Web,1,4.0,15200.0,3800.0,80.0,1.0,0.9813,10.0,0
CLI000097,Hernán Valencia,xcano@example.org,3163428535,2020-07-05,1640.0,Medellín,Natural,Punto físico,0,4.0,40400.0,10100.0,38.0,1.0,0.805,6.0,0
CLI009099,Johana Parra Guerrero,cabrerarosario@example.net,018001730192,2022-02-23,,Cali,Natural,API,1,3.0,35700.0,11900.0,24.0,2.0,0.9591,7.0,0
CLI004376,Stiven Javier Pinzón Parada,palacioswalter@example.org,+573256973163,12-06-2022,,Bogotá,Natural,App,0,0.0,,10000.0,5.0,2.0,0.8922,9.2,0
CLI007466,Yanet Gómez Bohórquez,marthaflorez@example.com,3094232176,2020-06-23,1652.0,,Empresa,Web,0,18.0,277200.0,15400.0,182.0,2.0,0.8954,4.1,1
CLI000519,Daniela Edilma Quintero Yepes,geraldine73@example.net,309 950 91 81,2021-06-17,1293.0,Bogotá,Empresa,API,0,13.0,794300.0,61100.0,8.0,2.0,,6.2,1
CLI001861,Claudia Sandra Cárdenas,quinteroyuli@example.com,(+57)6063645273,2021-03-12,1390.0,,Ecommerce,Punto físico,0,24.0,542400.0,22600.0,23.0,1.0,,5.7,1
CLI001433,John Hernando Rodríguez,eduardo43@example.com,(+57)3188242781,2020-02-29,1767.0,Bogotá,Empresa,App,1,15.0,,28800.0,74.0,,0.9186,3.5,1
CLI007900,Wilson Fernando Cardona Puentes,qlopez@example.net,(+57) 327 486 80 34,2019-09-29,1920.0,,Natural,App,0,3.0,39600.0,13200.0,12.0,2.0,0.9055,6.2,1
CLI003173,Elena Eugenia Ramírez,elena18@example.com,(+57) 328 462 20 76,2022-07-07,908.0,Barranquilla,,Punto físico,0,19.0,471200.0,24800.0,37.0,4.0,0.9574,8.1,0
CLI006011,Elmer Bautista Bravo,jcaceres@example.com,57 310 183 75 40,03-08-2023,664.0,,Natural,Punto físico,0,,67200.0,11200.0,,0.0,0.8042,5.4,0
CLI008412,María Gil,roayulieth@example.net,576078736095,2022-08-11,873.0,Cali,Empresa,Web,0,14.0,336000.0,24000.0,23.0,1.0,0.8258,4.9,0
CLI006019,José Muñoz González,martinezliliana@example.net,+573100007465,2020-02-06,1790.0,Barranquilla,Empresa,Web,0,11.0,28938000.0,39500.0,68.0,2.0,0.6931,7.3,0
CLI003972,Olga Laura Gómez,arbey78@example.net,01 8002 808 102,2020-08-05,1609.0,Bogotá,Natural,App,0,5.0,75000.0,15000.0,33.0,1.0,,2.7,1
CLI006038,Jairo Pedro González Rodríguez,camilo62@example.net,57 317 702 44 04,2023-04-07,634.0,Bogotá,Natural,App,1,6.0,45600.0,7600.0,43.0,2.0,0.8581,9.1,0
CLI004721,Alberto Andrés Herrera Benavides,sgamboa@example.net,573050134987,2020-10-11,1542.0,Medellín,Ecommerce,Punto físico,0,19.0,359100.0,,115.0,2.0,0.9089,6.5,0
CLI003439,Mayra Lizeth Mejía,juan18@example.com,(+57)6038237677,2020-03-23,1744.0,,Natural,Web,0,2.0,37000.0,18500.0,,0.0,0.7074,2.0,1
CLI007012,Fernanda Rico,cordobaelizabeth@example.net,(+57) 304 540 27 40,2023-03-28,644.0,Manizales,Natural,App,0,3.0,,12800.0,64.0,2.0,0.8978,8.2,0
CLI004487,Abel Carlos Aguilar,gaitandanilo@example.org,319 349 20 97,2019-08-22,1958.0,Bucaramanga,,Punto físico,0,6.0,64800.0,10800.0,2.0,1.0,0.9856,9.3,0
CLI006144,Karen Rodríguez,jesusgonzalez@example.com,607 778 33 70,2020-08-29,1585.0,Cali,Ecommerce,Web,1,11.0,225500.0,20500.0,16.0,3.0,0.8559,8.4,0
CLI004217,Amparo Dora Rodríguez Gómez,sanchezstella@example.com,573048775320,20190212,2149.0,Barranquilla,Ecommerce,Web,1,27.0,396900.0,14700.0,41.0,1.0,0.8041,6.2,0
CLI008179,Óscar Juan Muñoz Santos,estherherrera@example.org,573233731408,2019-04-19,,Cali,Ecommerce,App,1,18.0,6995000.0,,,1.0,0.8993,5.0,0
CLI008193,Andrea Londoño Méndez,palacioscamilo@example.net,+573251515360,2023-04-21,620.0,Bogotá,Natural,,0,4.0,61600.0,15400.0,102.0,1.0,0.8159,3.9,1
CLI000577,Flor Caicedo Cantillo,adelgado@example.net,(+57)3084851596,2019-02-27,2134.0,Cúcuta,Empresa,App,0,12.0,624000.0,52000.0,33.0,1.0,0.7927,4.4,0
CLI001624,Jorge Zapata,ana09@example.net,57 309 712 63 77,2021-04-02,1369.0,Bogotá,Empresa,API,0,9.0,478800.0,,119.0,2.0,0.952,7.4,0
CLI009327,Armando Silva,ariasoscar@example.org,57 306 887 56 36,99/99/9999,1939.0,Cali,Ecommerce,,1,16.0,169600.0,10600.0,27.0,1.0,0.9911,0.0,0
CLI008387,Ruth Ospina,ricardo59@example.org,+57 320 774 85 41,2020-05-22,1684.0,Manizales,,App,0,20.0,494000.0,24700.0,12.0,1.0,0.8445,5.7,0
CLI008508,María López Herrera,oaguirre@example.net,3162172714,2022-01-07,1089.0,Bogotá,Natural,Web,0,5.0,31000.0,6200.0,10.0,2.0,0.8924,5.5,0
CLI008315,Alberto Mercado Agudelo,gomezenrique@example.org,+573204385940,06-15-2020,1660.0,Bogotá,,API,1,6.0,79800.0,13300.0,6.0,1.0,0.8667,1.9,0
CLI002958,Emilce Marleny González Amaya,rmartinez@example.net,57 327 933 67 61,2023-03-20,652.0,Bogotá,Natural,,0,4.0,,17700.0,28.0,,0.866,8.1,0
CLI006052,Blanca Yaneth Gómez Rojas,drendon@example.org,6098546703,2023-12-02,395.0,Cali,Natural,Web,0,1.0,4900.0,4900.0,152.0,1.0,0.752,8.4,1
CLI007465,María Ramírez Escobar,gomezsandra@example.com,+57 607 672 59 82,2020-10-30,1523.0,Pereira,Empresa,API,0,14.0,593600.0,42400.0,15.0,1.0,1.0,10.0,0
CLI008158,Guillermo Javier Cruz,rodriguezharold@example.org,(+57) 606 783 03 74,16/07/2021,1264.0,Bogotá,Empresa,API,0,6.0,125400.0,20900.0,33.0,2.0,0.8938,7.4,0
CLI005279,Luis Leandro Gutiérrez,luismelo@example.com,+573126221063,2019-07-24,1987.0,Bogotá,Ecommerce,API,0,16.0,422400.0,26400.0,107.0,2.0,0.9309,7.5,0
CLI007659,María Eugenia Mejía,moramaria@example.org,350 32 86,2023-10-31,427.0,Bogotá,Natural,Punto físico,1,0.0,0.0,13600.0,,,0.6851,10.0,1
CLI002593,Esperanza Johana Pérez Carvajal,williamquiroz@example.net,919 05 07,2019-12-30,1828.0,Barranquilla,Empresa,App,1,7.0,243600.0,34800.0,10.0,2.0,0.7824,4.0,1
CLI003116,Fernanda Suárez,cifuentesfaber@example.net,327 374 59 12,2019-02-03,2158.0,Cali,Ecommerce,API,0,25.0,422500.0,16900.0,115.0,0.0,0.8947,8.1,0
CLI003551,Luis Vladimir Solano,tgutierrez@example.net,+57 327 431 57 72,2019-08-05,1975.0,Cartagena,Natural,App,1,4.0,65200.0,16300.0,,1.0,0.8241,10.0,1
CLI004717,Javier Antonio Osorio,kvalencia@example.net,308 454 31 05,2022-12-12,750.0,Medellín,Empresa,Punto físico,1,8.0,364000.0,45500.0,72.0,2.0,0.7751,3.3,1
CLI002426,Lorena Rojas,montenegromanuel@example.net,573098201072,2023-02-13,687.0,Barranquilla,Natural,,0,2.0,18000.0,9000.0,132.0,4.0,0.7821,10.0,1
CLI001919,Marcela Méndez Jiménez,lopezesther@example.net,573031995662,2021-07-30,1250.0,Cali,Ecommerce,App,0,21.0,312900.0,14900.0,17.0,0.0,0.684,7.6,0
CLI007303,Humberto Santiago Carrillo Gómez,sanabriapatricia@example.org,57 604 611 47 09,2020-09-16,1567.0,Cartagena,Empresa,,1,11.0,499400.0,45400.0,6.0,0.0,0.8286,5.1,0
CLI005383,Alex Rosero Monroy,salazararmando@example.com,+57 325 824 48 56,2022-12-13,749.0,Bucaramanga,Ecommerce,App,1,,435400.0,31100.0,58.0,,0.8349,,0
CLI004618,Alexander Mercado,martadiaz@example.org,325 383 63 55,2020-07-17,1628.0,,Empresa,Web,0,21.0,1054200.0,,1.0,0.0,0.8401,10.0,0
CLI001191,David Herrera,alejandra10@example.org,6023024614,2023-04-24,617.0,Medellín,Natural,API,0,,42600.0,14200.0,29.0,1.0,0.859,5.8,1
CLI005906,María Giraldo Martínez,iarias@example.net,57 319 244 42 70,2021-09-19,1199.0,Cartagena,Natural,Web,0,3.0,39600.0,13200.0,10.0,0.0,,6.3,0
CLI004624,Manuel López,jpaez@example.net,(+57)3162190934,2021-01-02,1459.0,Cúcuta,Empresa,Web,0,15.0,726000.0,48400.0,10.0,0.0,0.8812,3.9,0
CLI007863,Carolina Bermúdez Trujillo,mendozamaria@example.org,57 303 016 11 99,2021-11-19,1138.0,Bogotá,Natural,Web,0,,18900.0,,40.0,,0.742,6.7,0
CLI009967,Luz Rodríguez Rodríguez,dolores42@example.com,(+57)3107836867,2023-05-27,584.0,Medellín,Empresa,Web,0,15.0,,32700.0,181.0,2.0,,10.0,1
CLI007681,Alfonso Ramírez,padillanelson@example.org,(+57) 327 013 55 07,2021-07-08,1272.0,,Ecommerce,App,0,22.0,547800.0,24900.0,,0.0,,8.2,0
CLI002957,Alix Hernández,ariashernando@example.com,018007282174,2021-07-20,1260.0,Bogotá,,Punto físico,0,7.0,65800.0,9400.0,87.0,0.0,1.0,7.5,0
CLI005313,Henry Julián Vélez Morales,fernandorueda@example.org,+573011863147,2020-11-30,1492.0,Medellín,Natural,App,0,3.0,29400.0,9800.0,38.0,1.0,0.9109,10.0,1
CLI009778,María Leidy Hernández Hoyos,rosafernandez@example.org,57 606 573 63 16,2021-10-11,1177.0,Barranquilla,Natural,App,1,4.0,70000.0,17500.0,8.0,0.0,0.8827,4.4,0
